fecha,producto,region,precio,vendidos,ingreso_total
2026-01-28,Monitor,Norte,273.49,10,2734.9
2026-01-29,Mouse,Occidente,25.25,9,227.25
2026-01-29,Audifonos,Norte,61.66,13,801.58
2026-01-30,Audifonos,Sur,62.76,3,188.28
2026-01-30,Monitor,Sur,291.36,5,1456.8
2026-01-30,Webcam,Norte,38.74,12,464.88
2026-01-30,Audifonos,Centro,54.49,14,762.86
2026-01-31,Monitor,Norte,298.45,10,2984.5
2026-01-31,Mouse,Occidente,26.53,4,106.12
2026-01-31,Laptop,Sur,789.42,7,5525.94
2026-02-01,Mouse,Sur,25.68,2,51.36
2026-02-01,Monitor,Centro,270.92,3,812.76
2026-02-01,Mouse,Occidente,26.78,5,133.9
2026-02-02,Monitor,Occidente,274.23,7,1919.61
2026-02-02,Mouse,Norte,26.84,11,295.24
2026-02-03,Monitor,Sur,304.4,1,304.4
2026-02-03,Laptop,Norte,807.3,5,4036.5
2026-02-03,Monitor,Centro,319.23,8,2553.84
2026-02-03,Mouse,Centro,23.48,13,305.24
2026-02-03,Monitor,Centro,292.64,13,3804.32
2026-02-04,Mouse,Centro,24.18,10,241.8
2026-02-04,Audifonos,Sur,62.18,14,870.52
2026-02-04,Mouse,Centro,23.91,4,95.64
2026-02-04,Mouse,Norte,24.24,11,266.64
2026-02-05,Monitor,Norte,318.21,9,2863.89
2026-02-05,Monitor,Sur,295.41,8,2363.28
2026-02-06,Teclado,Norte,47.08,4,188.32
2026-02-06,Mouse,Norte,26.38,8,211.04
2026-02-06,Webcam,Occidente,42.87,1,42.87
2026-02-06,Audifonos,Centro,63.05,9,567.45
2026-02-06,Webcam,Norte,40.27,4,161.08
2026-02-07,Laptop,Sur,767.62,3,2302.86
2026-02-07,Laptop,Occidente,721.73,9,6495.57
2026-02-07,Teclado,Occidente,43.69,12,524.28
2026-02-07,Webcam,Centro,43.6,3,130.8
2026-02-07,Mouse,Centro,22.92,5,114.6
2026-02-08,Monitor,Norte,303.22,5,1516.1
2026-02-08,Monitor,Norte,317.49,9,2857.41
2026-02-08,Audifonos,Norte,59.93,7,419.51
2026-02-08,Webcam,Centro,36.45,3,109.35
2026-02-09,Audifonos,Centro,62.47,12,749.64
2026-02-09,Laptop,Sur,853.91,1,853.91
2026-02-09,Audifonos,Sur,55.01,13,715.13
2026-02-09,Mouse,Norte,26.61,10,266.1
2026-02-10,Audifonos,Norte,55.02,3,165.06
2026-02-10,Audifonos,Norte,64.56,1,64.56
2026-02-10,Laptop,Norte,840.54,6,5043.24
2026-02-11,Teclado,Norte,43.9,7,307.3
2026-02-11,Teclado,Sur,48.66,7,340.62
2026-02-11,Webcam,Centro,38.03,2,76.06
2026-02-11,Monitor,Sur,273.38,12,3280.56
2026-02-11,Audifonos,Centro,61.79,1,61.79
2026-02-12,Audifonos,Occidente,65.55,12,786.6
2026-02-12,Laptop,Norte,858.98,6,5153.88
2026-02-12,Audifonos,Sur,63.63,13,827.19
2026-02-12,Audifonos,Norte,57.87,6,347.22
2026-02-13,Teclado,Occidente,41.16,3,123.48
2026-02-13,Teclado,Occidente,41.18,9,370.62
2026-02-14,Webcam,Centro,39.64,5,198.2
2026-02-14,Webcam,Sur,39.07,7,273.49
2026-02-15,Teclado,Occidente,49.13,8,393.04
2026-02-15,Webcam,Occidente,36.85,5,184.25
2026-02-16,Mouse,Occidente,25.73,8,205.84
2026-02-16,Mouse,Occidente,25.42,12,305.04
2026-02-16,Audifonos,Norte,57.12,11,628.32
2026-02-16,Webcam,Centro,40.29,1,40.29
2026-02-16,Audifonos,Occidente,61.23,13,795.99
2026-02-17,Webcam,Centro,42.58,2,85.16
2026-02-17,Teclado,Occidente,45.73,9,411.57
2026-02-18,Mouse,Occidente,26.88,11,295.68
2026-02-18,Audifonos,Norte,54.32,1,54.32
2026-02-18,Webcam,Norte,39.84,1,39.84
2026-02-19,Audifonos,Sur,58.57,6,351.42
2026-02-19,Teclado,Centro,45.62,1,45.62
2026-02-19,Mouse,Norte,24.57,1,24.57
2026-02-19,Audifonos,Occidente,54.9,12,658.8
2026-02-20,Audifonos,Centro,63.0,3,189.0
2026-02-20,Audifonos,Centro,63.23,5,316.15
2026-02-21,Mouse,Centro,23.74,14,332.36
2026-02-21,Laptop,Sur,760.23,13,9882.99
2026-02-21,Audifonos,Occidente,56.74,1,56.74
2026-02-22,Mouse,Occidente,23.84,7,166.88
2026-02-22,Mouse,Sur,25.1,6,150.6
2026-02-22,Teclado,Centro,43.27,1,43.27
2026-02-22,Webcam,Occidente,40.49,14,566.86
2026-02-22,Teclado,Norte,45.81,7,320.67
2026-02-23,Audifonos,Norte,61.67,11,678.37
2026-02-23,Teclado,Centro,41.73,12,500.76
2026-02-23,Mouse,Sur,25.54,2,51.08
2026-02-23,Webcam,Centro,39.5,2,79.0
2026-02-24,Laptop,Sur,792.15,12,9505.8
2026-02-24,Webcam,Centro,40.19,1,40.19
2026-02-24,Audifonos,Norte,55.76,8,446.08
2026-02-24,Laptop,Sur,843.03,4,3372.12
2026-02-24,Audifonos,Sur,61.45,2,122.9
2026-02-25,Webcam,Centro,40.64,11,447.04
2026-02-25,Teclado,Centro,41.66,7,291.62
2026-02-26,Teclado,Sur,46.78,4,187.12
2026-02-26,Monitor,Occidente,294.7,3,884.1
2026-02-26,Teclado,Norte,49.26,13,640.38
2026-02-26,Mouse,Centro,22.7,5,113.5
2026-02-26,Mouse,Occidente,24.24,6,145.44
2026-02-27,Webcam,Norte,40.28,12,483.36
2026-02-27,Mouse,Sur,24.32,14,340.48
2026-02-28,Audifonos,Centro,54.47,9,490.23
2026-02-28,Laptop,Sur,733.08,14,10263.12
2026-02-28,Teclado,Centro,43.9,1,43.9
2026-03-01,Monitor,Norte,275.07,3,825.21
2026-03-01,Audifonos,Occidente,56.51,8,452.08
2026-03-01,Webcam,Sur,40.95,7,286.65
2026-03-02,Mouse,Norte,22.81,11,250.91
2026-03-02,Teclado,Centro,46.68,7,326.76
2026-03-02,Webcam,Centro,40.26,13,523.38
2026-03-03,Mouse,Sur,25.16,9,226.44
2026-03-03,Audifonos,Occidente,54.24,9,488.16
2026-03-03,Laptop,Centro,734.27,14,10279.78
2026-03-04,Laptop,Norte,774.87,9,6973.83
2026-03-04,Monitor,Sur,317.35,13,4125.55
2026-03-04,Mouse,Centro,25.42,6,152.52
2026-03-04,Mouse,Centro,26.23,1,26.23
2026-03-04,Monitor,Centro,292.73,5,1463.65
2026-03-05,Monitor,Sur,306.45,11,3370.95
2026-03-05,Teclado,Norte,43.47,9,391.23
2026-03-05,Laptop,Norte,736.29,6,4417.74
2026-03-06,Monitor,Sur,281.19,14,3936.66
2026-03-06,Webcam,Centro,36.45,9,328.05
2026-03-06,Teclado,Centro,40.66,5,203.3
2026-03-07,Webcam,Sur,40.61,11,446.71
2026-03-07,Monitor,Centro,319.02,1,319.02
2026-03-07,Webcam,Occidente,41.78,14,584.92
2026-03-07,Laptop,Sur,809.08,8,6472.64
2026-03-07,Mouse,Centro,26.69,5,133.45
2026-03-08,Mouse,Sur,26.05,4,104.2
2026-03-08,Laptop,Occidente,758.79,1,758.79
2026-03-08,Mouse,Sur,23.94,5,119.7
2026-03-09,Teclado,Centro,44.83,11,493.13
2026-03-09,Teclado,Norte,43.82,8,350.56
2026-03-09,Mouse,Norte,22.82,12,273.84
2026-03-10,Audifonos,Occidente,63.72,1,63.72
2026-03-10,Audifonos,Norte,63.12,11,694.32
2026-03-10,Webcam,Centro,42.35,1,42.35
2026-03-11,Webcam,Occidente,43.72,14,612.08
2026-03-11,Audifonos,Occidente,65.89,2,131.78
2026-03-12,Teclado,Centro,48.84,6,293.04
2026-03-12,Monitor,Occidente,316.89,11,3485.79
2026-03-12,Laptop,Norte,752.26,14,10531.64
2026-03-12,Teclado,Norte,42.18,3,126.54
2026-03-12,Teclado,Sur,45.21,4,180.84
2026-03-13,Audifonos,Sur,58.71,8,469.68
2026-03-13,Webcam,Occidente,39.7,6,238.2
2026-03-14,Laptop,Norte,776.86,7,5438.02
2026-03-14,Mouse,Sur,22.83,8,182.64
2026-03-15,Teclado,Sur,48.96,7,342.72
2026-03-15,Teclado,Occidente,46.74,4,186.96
2026-03-15,Audifonos,Norte,60.4,7,422.8
2026-03-15,Teclado,Occidente,49.48,9,445.32
2026-03-16,Audifonos,Norte,63.34,1,63.34
2026-03-16,Webcam,Occidente,40.56,10,405.6
2026-03-17,Teclado,Sur,43.58,6,261.48
2026-03-17,Audifonos,Centro,58.55,13,761.15
2026-03-18,Monitor,Occidente,300.14,8,2401.12
2026-03-18,Audifonos,Norte,56.75,12,681.0
2026-03-18,Audifonos,Sur,54.15,3,162.45
2026-03-18,Teclado,Occidente,45.38,11,499.18
2026-03-18,Teclado,Norte,47.94,14,671.16
2026-03-19,Webcam,Sur,39.21,10,392.1
2026-03-19,Webcam,Centro,37.23,13,483.99
2026-03-19,Webcam,Sur,40.89,8,327.12
2026-03-20,Teclado,Occidente,41.42,4,165.68
2026-03-20,Audifonos,Occidente,54.28,10,542.8
2026-03-20,Laptop,Occidente,779.91,9,7019.19
2026-03-20,Webcam,Centro,41.89,8,335.12
2026-03-20,Laptop,Sur,865.71,1,865.71
2026-03-21,Audifonos,Norte,55.99,4,223.96
2026-03-21,Webcam,Centro,43.37,6,260.22
2026-03-21,Teclado,Occidente,45.97,9,413.73
2026-03-22,Laptop,Sur,848.46,5,4242.3
2026-03-22,Mouse,Norte,23.07,4,92.28
2026-03-23,Mouse,Centro,27.11,7,189.77
2026-03-23,Mouse,Centro,26.19,1,26.19
2026-03-24,Teclado,Centro,44.57,3,133.71
2026-03-24,Webcam,Occidente,40.62,4,162.48
2026-03-24,Webcam,Norte,43.32,1,43.32
2026-03-24,Audifonos,Centro,57.33,10,573.3
2026-03-24,Monitor,Sur,309.81,7,2168.67
2026-03-25,Monitor,Norte,278.92,6,1673.52
2026-03-25,Webcam,Occidente,40.28,8,322.24
2026-03-26,Laptop,Occidente,730.73,7,5115.11
2026-03-26,Teclado,Centro,47.7,14,667.8
2026-03-27,Webcam,Norte,41.0,13,533.0
2026-03-27,Webcam,Occidente,40.52,2,81.04
2026-03-27,Laptop,Sur,834.25,2,1668.5
2026-03-27,Mouse,Sur,24.7,2,49.4
2026-03-27,Webcam,Sur,42.12,4,168.48
2026-03-28,Audifonos,Centro,65.35,10,653.5
2026-03-28,Mouse,Centro,25.72,12,308.64
2026-03-29,Monitor,Occidente,312.96,13,4068.48
2026-03-29,Laptop,Norte,755.52,8,6044.16
2026-03-30,Teclado,Centro,40.68,6,244.08
2026-03-30,Laptop,Centro,811.11,3,2433.33
2026-03-30,Laptop,Occidente,758.11,2,1516.22
2026-03-30,Teclado,Occidente,49.4,8,395.2
2026-03-31,Teclado,Occidente,44.07,5,220.35
2026-03-31,Webcam,Norte,39.25,7,274.75
2026-03-31,Mouse,Centro,25.67,1,25.67
2026-04-01,Audifonos,Centro,55.47,3,166.41
2026-04-01,Monitor,Norte,295.29,2,590.58
2026-04-01,Laptop,Centro,819.96,11,9019.56
2026-04-01,Mouse,Centro,24.4,7,170.8
2026-04-02,Monitor,Occidente,307.45,6,1844.7
2026-04-02,Webcam,Norte,39.49,12,473.88
2026-04-02,Teclado,Occidente,49.27,12,591.24
2026-04-02,Laptop,Sur,810.52,11,8915.72
2026-04-03,Laptop,Sur,723.6,14,10130.4
2026-04-03,Laptop,Occidente,831.82,9,7486.38
2026-04-03,Laptop,Sur,823.21,14,11524.94
2026-04-04,Mouse,Sur,27.0,2,54.0
2026-04-04,Audifonos,Centro,63.87,5,319.35
2026-04-04,Mouse,Occidente,24.99,2,49.98
2026-04-04,Laptop,Norte,824.23,10,8242.3
2026-04-04,Monitor,Centro,276.39,6,1658.34
2026-04-05,Teclado,Norte,42.9,11,471.9
2026-04-05,Mouse,Occidente,25.67,5,128.35
2026-04-06,Mouse,Norte,26.69,5,133.45
2026-04-06,Monitor,Sur,301.14,2,602.28
2026-04-06,Monitor,Sur,314.28,3,942.84
2026-04-06,Audifonos,Occidente,63.25,13,822.25
2026-04-07,Teclado,Occidente,44.43,4,177.72
2026-04-07,Laptop,Centro,767.54,3,2302.62
2026-04-08,Mouse,Centro,25.82,6,154.92
2026-04-08,Webcam,Norte,39.87,10,398.7
2026-04-08,Monitor,Centro,285.74,3,857.22
2026-04-09,Teclado,Norte,44.97,13,584.61
2026-04-09,Teclado,Sur,,2,92.22
2026-04-09,Audifonos,Norte,54.9,1,54.9
2026-04-09,Laptop,Norte,832.79,8,6662.32
2026-04-09,Mouse,Norte,23.73,3,71.19
2026-04-10,Audifonos,Occidente,62.34,14,872.76
2026-04-10,Webcam,Sur,36.82,5,184.1
2026-04-10,Monitor,Centro,325.04,13,4225.52
2026-04-11,Mouse,Norte,24.73,12,296.76
2026-04-11,Webcam,Occidente,42.98,8,343.84
2026-04-12,Audifonos,Norte,61.91,6,371.46
2026-04-12,Webcam,Occidente,38.0,9,342.0
2026-04-12,Monitor,Centro,311.59,9,2804.31
2026-04-12,Audifonos,Sur,54.47,10,544.7
2026-04-13,Laptop,Centro,808.93,6,4853.58
2026-04-13,Mouse,Centro,22.67,5,113.35
2026-04-13,Laptop,Centro,867.9,2,1735.8
2026-04-13,Teclado,Centro,47.66,14,667.24
2026-04-13,Monitor,Centro,297.31,11,3270.41
2026-04-14,Laptop,Sur,815.4,3,2446.2
2026-04-14,Monitor,Occidente,,3,896.58
2026-04-14,Audifonos,Centro,58.08,7,406.56
2026-04-15,Monitor,Centro,288.92,1,288.92
2026-04-15,Monitor,Norte,309.7,13,4026.1
2026-04-15,Mouse,Norte,26.93,10,269.3
2026-04-15,Monitor,Sur,295.05,3,885.15
2026-04-16,Mouse,Sur,22.5,13,292.5
2026-04-16,Audifonos,Sur,65.27,3,195.81
2026-04-16,Teclado,Centro,40.59,13,527.67
2026-04-17,Laptop,Norte,726.02,12,8712.24
2026-04-17,Laptop,Occidente,859.79,9,7738.11
2026-04-17,Mouse,Sur,24.59,7,172.13
2026-04-18,Audifonos,Norte,56.87,3,170.61
2026-04-18,Audifonos,Sur,57.56,2,115.12
2026-04-18,Monitor,Sur,284.02,9,2556.18
2026-04-18,Laptop,Norte,878.04,9,7902.36
2026-04-18,Laptop,Norte,828.74,12,9944.88
2026-04-19,Mouse,Norte,26.43,11,290.73
2026-04-19,Monitor,Sur,328.94,14,4605.16
2026-04-19,Teclado,Sur,46.02,9,414.18
2026-04-19,Monitor,Occidente,283.9,4,1135.6
2026-04-20,Webcam,Norte,42.65,14,597.1
2026-04-20,Mouse,Centro,23.38,10,233.8
2026-04-21,Laptop,Sur,844.73,6,5068.38
2026-04-21,Audifonos,Norte,61.56,7,430.92
2026-04-22,Laptop,Centro,815.56,1,815.56
2026-04-22,Audifonos,Centro,58.75,2,117.5
2026-04-23,Webcam,Norte,37.23,3,111.69
2026-04-23,Webcam,Norte,37.79,9,340.11
2026-04-23,Laptop,Occidente,812.81,2,1625.62
2026-04-24,Laptop,Occidente,762.5,12,9150.0
2026-04-24,Audifonos,Norte,54.53,2,109.06
2026-04-24,Monitor,Sur,318.57,8,2548.56
2026-04-24,Laptop,Norte,837.63,2,1675.26
2026-04-25,Monitor,Centro,270.3,11,2973.3
2026-04-25,Audifonos,Occidente,59.95,6,359.7
2026-04-25,Audifonos,Occidente,55.31,12,663.72
2026-04-25,Audifonos,Norte,64.21,8,513.68
2026-04-25,Audifonos,Occidente,60.19,3,180.57
2026-04-26,Teclado,Occidente,46.46,8,371.68
2026-04-26,Teclado,Norte,42.9,6,257.4
2026-04-26,Teclado,Occidente,46.43,1,46.43
2026-04-27,Teclado,Occidente,46.88,11,515.68
2026-04-27,Audifonos,Norte,65.16,4,260.64
2026-04-27,Teclado,Sur,42.2,5,211.0
2026-04-27,Teclado,Norte,48.35,3,145.05
2026-04-28,Mouse,Sur,26.6,5,133.0
2026-04-28,Webcam,Centro,37.29,4,149.16
2026-04-28,Mouse,Sur,26.28,12,315.36
2026-04-28,Mouse,Occidente,22.92,11,252.12
2026-04-29,Laptop,Norte,738.54,2,1477.08
2026-04-29,Monitor,Occidente,302.4,3,907.2
2026-04-30,Webcam,Centro,42.09,10,420.9
2026-04-30,Laptop,Occidente,854.42,12,10253.04
2026-04-30,Monitor,Centro,325.92,13,4236.96
2026-04-30,Webcam,Occidente,37.39,4,149.56
2026-04-30,Mouse,Occidente,24.0,1,24.0
2026-05-01,Webcam,Norte,40.66,1,40.66
2026-05-01,Webcam,Sur,36.6,2,73.2
2026-05-01,Mouse,Sur,27.37,13,355.81
2026-05-01,Monitor,Occidente,308.85,4,1235.4
2026-05-01,Audifonos,Occidente,54.3,11,597.3
2026-05-02,Webcam,Centro,39.91,3,119.73
2026-05-02,Teclado,Sur,40.51,2,81.02
2026-05-03,Mouse,Norte,27.22,3,81.66
2026-05-03,Audifonos,Norte,55.96,7,391.72
2026-05-03,Audifonos,Norte,57.58,2,115.16
2026-05-04,Webcam,Occidente,41.24,11,453.64
2026-05-04,Teclado,Norte,49.17,8,393.36
2026-05-04,Monitor,Norte,326.62,5,1633.1
2026-05-04,Teclado,Occidente,44.08,9,396.72
2026-05-05,Teclado,Centro,44.18,12,530.16
2026-05-05,Webcam,Centro,41.97,3,125.91
2026-05-06,Laptop,Norte,834.39,2,1668.78
2026-05-06,Monitor,Occidente,302.59,12,3631.08
2026-05-06,Webcam,Norte,42.95,5,214.75
2026-05-06,Teclado,Sur,45.27,7,316.89
2026-05-06,Teclado,Norte,41.68,5,208.4
2026-05-07,Monitor,Sur,307.0,14,4298.0
2026-05-07,Laptop,Sur,738.77,1,738.77
2026-05-07,Webcam,Occidente,37.98,9,341.82
2026-05-07,Webcam,Occidente,,6,239.58
2026-05-07,Webcam,Norte,38.15,8,305.2
2026-05-08,Teclado,Occidente,44.6,8,356.8
2026-05-08,Audifonos,Sur,62.17,2,124.34
2026-05-08,Webcam,Centro,40.8,11,448.8
2026-05-08,Audifonos,Norte,64.32,6,385.92
2026-05-08,Laptop,Occidente,835.89,3,2507.67
2026-05-09,Laptop,Norte,736.45,14,10310.3
2026-05-09,Webcam,Sur,37.68,1,37.68
2026-05-09,Mouse,Occidente,22.55,12,270.6
2026-05-09,Laptop,Sur,805.48,9,7249.32
2026-05-09,Audifonos,Sur,54.4,4,217.6
2026-05-10,Webcam,Centro,37.06,7,259.42
2026-05-10,Mouse,Sur,25.97,2,51.94
2026-05-10,Mouse,Centro,25.85,8,206.8
2026-05-11,Audifonos,Centro,64.75,9,582.75
2026-05-11,Webcam,Norte,36.42,9,327.78
2026-05-11,Mouse,Occidente,26.85,2,53.7
2026-05-11,Monitor,Sur,317.01,11,3487.11
2026-05-12,Teclado,Occidente,45.48,6,272.88
2026-05-12,Mouse,Sur,24.76,3,74.28
2026-05-12,Laptop,Occidente,837.05,11,9207.55
2026-05-12,Mouse,Sur,25.47,12,305.64
2026-05-13,Laptop,Norte,818.52,3,2455.56
2026-05-13,Webcam,Occidente,41.95,13,545.35
2026-05-14,Audifonos,Centro,54.52,12,654.24
2026-05-14,Mouse,Sur,26.1,6,156.6
2026-05-14,Audifonos,Occidente,60.51,11,665.61
2026-05-14,Teclado,Occidente,42.3,3,126.9
2026-05-15,Audifonos,Sur,54.37,1,54.37
2026-05-15,Monitor,Norte,322.1,10,3221.0
2026-05-16,Monitor,Norte,290.76,12,3489.12
2026-05-16,Webcam,Occidente,40.04,2,80.08
2026-05-17,Teclado,Occidente,45.79,10,457.9
2026-05-17,Audifonos,Sur,59.84,2,119.68
2026-05-18,Mouse,Occidente,24.61,10,246.1
2026-05-18,Teclado,Centro,43.05,13,559.65
2026-05-18,Monitor,Centro,307.38,8,2459.04
2026-05-18,Audifonos,Centro,56.83,10,568.3
2026-05-19,Monitor,Occidente,306.11,10,3061.1
2026-05-19,Monitor,Sur,328.28,7,2297.96
2026-05-19,Audifonos,Norte,54.83,9,493.47
2026-05-19,Webcam,Sur,42.97,14,601.58
2026-05-19,Laptop,Occidente,814.87,6,4889.22
2026-05-20,Teclado,Norte,49.22,2,98.44
2026-05-20,Teclado,Norte,40.58,1,40.58
2026-05-21,Monitor,Occidente,293.8,7,2056.6
2026-05-21,Teclado,Sur,41.16,14,576.24
2026-05-21,Mouse,Norte,24.19,14,338.66
2026-05-21,Laptop,Norte,791.91,8,6335.28
2026-05-21,Teclado,Occidente,46.86,6,281.16
2026-05-22,Monitor,Norte,306.33,5,1531.65
2026-05-22,Monitor,Norte,316.91,8,2535.28
2026-05-22,Monitor,Occidente,305.12,6,1830.72
2026-05-22,Monitor,Centro,276.72,2,553.44
2026-05-22,Webcam,Sur,36.98,5,184.9
2026-05-23,Mouse,Norte,25.7,3,77.1
2026-05-23,Webcam,Norte,,5,217.35
2026-05-23,Laptop,Norte,813.55,12,9762.6
2026-05-23,Mouse,Occidente,27.43,8,219.44
2026-05-23,Teclado,Centro,40.66,9,365.94
2026-05-24,Audifonos,Norte,,8,487.68
2026-05-24,Teclado,Sur,43.58,6,261.48
2026-05-24,Monitor,Centro,271.8,13,3533.4
2026-05-25,Mouse,Sur,26.16,8,209.28
2026-05-25,Mouse,Norte,22.97,8,183.76
2026-05-25,Audifonos,Occidente,56.81,6,340.86
2026-05-25,Mouse,Norte,26.69,10,266.9
2026-05-25,Teclado,Sur,40.66,2,81.32
2026-05-26,Mouse,Occidente,26.82,1,26.82
2026-05-26,Monitor,Centro,325.86,14,4562.04
2026-05-27,Laptop,Norte,754.51,14,10563.14
2026-05-27,Audifonos,Occidente,61.81,10,618.1
2026-05-27,Webcam,Occidente,37.27,6,223.62
2026-05-27,Laptop,Norte,785.11,13,10206.43
2026-05-27,Laptop,Norte,810.72,9,7296.48
2026-05-28,Monitor,Sur,294.25,14,4119.5
2026-05-28,Monitor,Sur,296.29,2,592.58
